,persname,dipl,dipl_ctx_lr15,pb_n,doc,dipl-ids
259,Joseph_Pitton_de_Tournefort,TOVRNEFORT,damals dieſe 3. unterſchiedene Arten in dem Univerſitaͤts⸗Garten gezogen worden . Daher hat ohne Zweifel TOVRNEFORT und KRAMER 1. c. eben die⸗ ſelbe als ſo viele Arten angezeiget und LINNÆVS auch,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35342', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35343_virtualSpan']"
260,Heinrich_Kramer,KRAMER,3. unterſchiedene Arten in dem Univerſitaͤts⸗Garten gezogen worden . Daher hat ohne Zweifel TOVRNEFORT und KRAMER 1. c. eben die⸗ ſelbe als ſo viele Arten angezeiget und LINNÆVS auch als varietaͤten,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35343', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35344_virtualSpan']"
261,Carl_von_Linné,LINNÆVS,Zweifel TOVRNEFORT und KRAMER 1. c. eben die⸗ ſelbe als ſo viele Arten angezeiget und LINNÆVS auch als varietaͤten angenommen . Und ſie muͤſſen auch als ſo viele beſtaͤndige varietaͤten angeſehen,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35344', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35345_virtualSpan']"
262,Philip_Miller,MILLER,"in einer Gegend durch etliche Jahre erzogen , eben dieſen Unterſcheid be⸗ ſtaͤndig behalten . MILLER und RAND melden nichts von der dritten Morifoniſchen Art . TAB. 22 . Lat. Malva",NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35345', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35346_virtualSpan']"
263,Isaac_Rand,RAND,"Gegend durch etliche Jahre erzogen , eben dieſen Unterſcheid be⸗ ſtaͤndig behalten . MILLER und RAND melden nichts von der dritten Morifoniſchen Art . TAB. 22 . Lat. Malva vulgaris .",NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35346', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35347_virtualSpan']"
264,Raius,Rai.,"Krauts , kan man es an deſſen Stelle brauchen . 4 . NOM. GEN. Malva Rai. I. 597 . Syn. 251 . Tourn. 94 . Heuch. Ind. 3 . Pr. I.",NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35347', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35348_virtualSpan']"
265,Joseph_Pitton_de_Tournefort,Tourn.,Stelle brauchen . 4 . NOM. GEN. Malva Rai. I. 597 . Syn. 251 . Tourn. 94 . Heuch. Ind. 3 . Pr. I. 13 . ſeqq. II. 28 . Rupp.,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35348', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35349_virtualSpan']"
266,Johann_Heinrich_von_Heucher,Heuch.,4 . NOM. GEN. Malva Rai. I. 597 . Syn. 251 . Tourn. 94 . Heuch. Ind. 3 . Pr. I. 13 . ſeqq. II. 28 . Rupp. 10 . Dill.,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35349', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35350_virtualSpan']"
267,Sequerius,ſeqq.,. Syn. 251 . Tourn. 94 . Heuch. Ind. 3 . Pr. I. 13 . ſeqq. II. 28 . Rupp. 10 . Dill. 106 . Boerh. I 267 . Vaill. 124,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35350', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35351_virtualSpan']"
268,Heinrich_Bernhard_Rupp,Rupp.,Tourn. 94 . Heuch. Ind. 3 . Pr. I. 13 . ſeqq. II. 28 . Rupp. 10 . Dill. 106 . Boerh. I 267 . Vaill. 124 . Heiſt. II. 18,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35351', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35352_virtualSpan']"
269,Johann_Jacob_Dillen,Dill.,Heuch. Ind. 3 . Pr. I. 13 . ſeqq. II. 28 . Rupp. 10 . Dill. 106 . Boerh. I 267 . Vaill. 124 . Heiſt. II. 18 . Linn. G.,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35352', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35353_virtualSpan']"
270,Herman_Boerhaave,Boerh.,. Pr. I. 13 . ſeqq. II. 28 . Rupp. 10 . Dill. 106 . Boerh. I 267 . Vaill. 124 . Heiſt. II. 18 . Linn. G. n. 676 .,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35353', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35354_virtualSpan']"
271,Sébastien_Vaillant,Vaill.,. ſeqq. II. 28 . Rupp. 10 . Dill. 106 . Boerh. I 267 . Vaill. 124 . Heiſt. II. 18 . Linn. G. n. 676 . Roy. 356 . Kram.,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35354', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35355_virtualSpan']"
272,Lorenz_Heister,Heiſt.,28 . Rupp. 10 . Dill. 106 . Boerh. I 267 . Vaill. 124 . Heiſt. II. 18 . Linn. G. n. 676 . Roy. 356 . Kram. 14 . Luavv.,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35355', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35356_virtualSpan']"
273,Carl_von_Linné,Linn.,. Dill. 106 . Boerh. I 267 . Vaill. 124 . Heiſt. II. 18 . Linn. G. n. 676 . Roy. 356 . Kram. 14 . Luavv. n. 144 . 5.,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35356', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35357_virtualSpan']"
274,Adriaan_van_Royen,Roy.,I 267 . Vaill. 124 . Heiſt. II. 18 . Linn. G. n. 676 . Roy. 356 . Kram. 14 . Luavv. n. 144 . 5. NOM. SPEC. Malva officinarum flore,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35357', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35358_virtualSpan']"
275,Heinrich_Kramer,Kram.,Vaill. 124 . Heiſt. II. 18 . Linn. G. n. 676 . Roy. 356 . Kram. 14 . Luavv. n. 144 . 5. NOM. SPEC. Malva officinarum flore majore rubro Heiſt.,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35358', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35359_virtualSpan']"
276,Christian_Gottlieb_Ludwig,Luavv.,Heiſt. II. 18 . Linn. G. n. 676 . Roy. 356 . Kram. 14 . Luavv. n. 144 . 5. NOM. SPEC. Malva officinarum flore majore rubro Heiſt. II. 18 .,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35359', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35360_virtualSpan']"
277,Lorenz_Heister,Heiſt.,Kram. 14 . Luavv. n. 144 . 5. NOM. SPEC. Malva officinarum flore majore rubro Heiſt. II. 18 . Malva vulgaris Park. 299 . Rai. I. 599 . Syn. 257 .,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35360', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35361_virtualSpan']"
278,John_Parkinson,Park.,". 5. NOM. SPEC. Malva officinarum flore majore rubro Heiſt. II. 18 . Malva vulgaris Park. 299 . Rai. I. 599 . Syn. 257 . Malva vulgaris flore majore , folio",NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35361', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35362_virtualSpan']"
279,Raius,Rai.,"SPEC. Malva officinarum flore majore rubro Heiſt. II. 18 . Malva vulgaris Park. 299 . Rai. I. 599 . Syn. 257 . Malva vulgaris flore majore , folio ſinuato I. B.",NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35362', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35363_virtualSpan']"
280,Joseph_Pitton_de_Tournefort,Tourn.,"Syn. 257 . Malva vulgaris flore majore , folio ſinuato I. B. II. 949 . Tourn. 95 . Boerh. I. 268 . Vaill. 124 . Malva ſylveſtris folio ſinuato C. B.",NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35363', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35364_virtualSpan']"
281,Herman_Boerhaave,Boerh.,"Malva vulgaris flore majore , folio ſinuato I. B. II. 949 . Tourn. 95 . Boerh. I. 268 . Vaill. 124 . Malva ſylveſtris folio ſinuato C. B. pin. 314 .",NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35364', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35365_virtualSpan']"
282,Sébastien_Vaillant,Vaill.,", folio ſinuato I. B. II. 949 . Tourn. 95 . Boerh. I. 268 . Vaill. 124 . Malva ſylveſtris folio ſinuato C. B. pin. 314 . Rupp. 10 . Dill.",NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35365', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35366_virtualSpan']"
283,Caspar_Bauhin,C. B.,". Tourn. 95 . Boerh. I. 268 . Vaill. 124 . Malva ſylveſtris folio ſinuato C. B. pin. 314 . Rupp. 10 . Dill. 106 . Malva caule erecto , folio ſinuato",NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok3553_virtualSpan', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok3554_virtualSpan']"
284,Heinrich_Bernhard_Rupp,Rupp.,"I. 268 . Vaill. 124 . Malva ſylveſtris folio ſinuato C. B. pin. 314 . Rupp. 10 . Dill. 106 . Malva caule erecto , folio ſinuato , flore majore pur-",NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35367', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35368_virtualSpan']"
285,Johann_Jacob_Dillen,Dill.,"Vaill. 124 . Malva ſylveſtris folio ſinuato C. B. pin. 314 . Rupp. 10 . Dill. 106 . Malva caule erecto , folio ſinuato , flore majore pur- pureo Kram. 14",NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35368', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35369_virtualSpan']"
286,Heinrich_Kramer,Kram.,". Dill. 106 . Malva caule erecto , folio ſinuato , flore majore pur- pureo Kram. 14 . Malva caule erecto foliis fere palmatis obſolete ſerratis Linn. H. 347 . Roy.",NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35369', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35370_virtualSpan']"
287,Carl_von_Linné,Linn.,flore majore pur- pureo Kram. 14 . Malva caule erecto foliis fere palmatis obſolete ſerratis Linn. H. 347 . Roy. 356 . Hall. 362 . Anm. Die Farbe der Blume iſt,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35370', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35371_virtualSpan']"
288,Adriaan_van_Royen,Roy.,Kram. 14 . Malva caule erecto foliis fere palmatis obſolete ſerratis Linn. H. 347 . Roy. 356 . Hall. 362 . Anm. Die Farbe der Blume iſt nach Beſchaffenheit des Erdreichs,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35371', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35372_virtualSpan']"
289,Albrecht_von_Haller,Hall.,Malva caule erecto foliis fere palmatis obſolete ſerratis Linn. H. 347 . Roy. 356 . Hall. 362 . Anm. Die Farbe der Blume iſt nach Beſchaffenheit des Erdreichs und der Witterung,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35372', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35373_virtualSpan']"
290,Joseph_Pitton_de_Tournefort,TOVRNEFORT,"vielleicht diejenige varietaͤten flo- re cœruleo und purpuro-rubro , welche aus dem Horto Catholi- co TOVRNEFORT 1. c. anfuͤhret . Einer gantzen Blume in⸗ wendige und auswendige Geſtallt iſt zu ſehen",NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35373', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35374_virtualSpan']"
291,Raius,Rai.,Verſtopfungen des Weiblichen Geſchlechts und præſerviret das Ausfallen der Haare . 4. NOM. GEN. Naſturtium Rai. I. 824 . Tourn. 213 . Heuch. Ind. 13 . Rupp. 86 . Boerh. II,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35374', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35375_virtualSpan']"
292,Joseph_Pitton_de_Tournefort,Tourn.,und præſerviret das Ausfallen der Haare . 4. NOM. GEN. Naſturtium Rai. I. 824 . Tourn. 213 . Heuch. Ind. 13 . Rupp. 86 . Boerh. II . 8 . Heiſt.,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35375', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35376_virtualSpan']"
293,Johann_Heinrich_von_Heucher,Heuch.,Ausfallen der Haare . 4. NOM. GEN. Naſturtium Rai. I. 824 . Tourn. 213 . Heuch. Ind. 13 . Rupp. 86 . Boerh. II . 8 . Heiſt. I. 22 .,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35376', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35377_virtualSpan']"
294,Heinrich_Bernhard_Rupp,Rupp.,4. NOM. GEN. Naſturtium Rai. I. 824 . Tourn. 213 . Heuch. Ind. 13 . Rupp. 86 . Boerh. II . 8 . Heiſt. I. 22 . Hall. 543 . Kram.,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35377', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35378_virtualSpan']"
295,Herman_Boerhaave,Boerh.,Naſturtium Rai. I. 824 . Tourn. 213 . Heuch. Ind. 13 . Rupp. 86 . Boerh. II . 8 . Heiſt. I. 22 . Hall. 543 . Kram. 222 . Ludvv.,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35378', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35379_virtualSpan']"
296,Lorenz_Heister,Heiſt.,Tourn. 213 . Heuch. Ind. 13 . Rupp. 86 . Boerh. II . 8 . Heiſt. I. 22 . Hall. 543 . Kram. 222 . Ludvv. n. 422 . Lepidium Linn.,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35379', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35380_virtualSpan']"
297,Albrecht_von_Haller,Hall.,Ind. 13 . Rupp. 86 . Boerh. II . 8 . Heiſt. I. 22 . Hall. 543 . Kram. 222 . Ludvv. n. 422 . Lepidium Linn. G. no. 645 .,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35380', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35381_virtualSpan']"
298,Heinrich_Kramer,Kram.,Rupp. 86 . Boerh. II . 8 . Heiſt. I. 22 . Hall. 543 . Kram. 222 . Ludvv. n. 422 . Lepidium Linn. G. no. 645 . Roy. 334 .,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35381', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35382_virtualSpan']"
299,Christian_Gottlieb_Ludwig,Ludvv.,Boerh. II . 8 . Heiſt. I. 22 . Hall. 543 . Kram. 222 . Ludvv. n. 422 . Lepidium Linn. G. no. 645 . Roy. 334 . 5. NOM. SPEC,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35382', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35383_virtualSpan']"
300,Carl_von_Linné,Linn.,Heiſt. I. 22 . Hall. 543 . Kram. 222 . Ludvv. n. 422 . Lepidium Linn. G. no. 645 . Roy. 334 . 5. NOM. SPEC Naſturtium hortenſe Ger. 250 .,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35383', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35384_virtualSpan']"
301,Adriaan_van_Royen,Roy.,543 . Kram. 222 . Ludvv. n. 422 . Lepidium Linn. G. no. 645 . Roy. 334 . 5. NOM. SPEC Naſturtium hortenſe Ger. 250 . Rai. I. 825 . Heuch.,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35384', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35385_virtualSpan']"
302,John_Gerard,Ger.,. Lepidium Linn. G. no. 645 . Roy. 334 . 5. NOM. SPEC Naſturtium hortenſe Ger. 250 . Rai. I. 825 . Heuch. Ind 13 . Heiſt. I. 22 . Naſturtium,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35385', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35386_virtualSpan']"
303,Raius,Rai.,G. no. 645 . Roy. 334 . 5. NOM. SPEC Naſturtium hortenſe Ger. 250 . Rai. I. 825 . Heuch. Ind 13 . Heiſt. I. 22 . Naſturtium vulga- re I.,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35386', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35387_virtualSpan']"
304,Johann_Heinrich_von_Heucher,Heuch.,Roy. 334 . 5. NOM. SPEC Naſturtium hortenſe Ger. 250 . Rai. I. 825 . Heuch. Ind 13 . Heiſt. I. 22 . Naſturtium vulga- re I. B. II . 912,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35387', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35388_virtualSpan']"
305,Lorenz_Heister,Heiſt.,NOM. SPEC Naſturtium hortenſe Ger. 250 . Rai. I. 825 . Heuch. Ind 13 . Heiſt. I. 22 . Naſturtium vulga- re I. B. II . 912 . Naſturtium vulgare hortenſe,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35388', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35389_virtualSpan']"
306,Heinrich_Kramer,Kram.,. Naſturtium vulga- re I. B. II . 912 . Naſturtium vulgare hortenſe flore rubeolo Kram. 22 . Naſturtium vulgatum C. B. pin. 103 . Tourn. 213 . Rupp. 86 .,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35389', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35390_virtualSpan']"
307,Caspar_Bauhin,C. B.,B. II . 912 . Naſturtium vulgare hortenſe flore rubeolo Kram. 22 . Naſturtium vulgatum C. B. pin. 103 . Tourn. 213 . Rupp. 86 . Boerh. II. 8 . Lepidium foliis,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok4023_virtualSpan', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok4024_virtualSpan']"
308,Joseph_Pitton_de_Tournefort,Tourn.,Naſturtium vulgare hortenſe flore rubeolo Kram. 22 . Naſturtium vulgatum C. B. pin. 103 . Tourn. 213 . Rupp. 86 . Boerh. II. 8 . Lepidium foliis oblongris varie diviſis &,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35391', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35392_virtualSpan']"
309,Heinrich_Bernhard_Rupp,Rupp.,flore rubeolo Kram. 22 . Naſturtium vulgatum C. B. pin. 103 . Tourn. 213 . Rupp. 86 . Boerh. II. 8 . Lepidium foliis oblongris varie diviſis & inciſis Linn. H.,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35392', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35393_virtualSpan']"
310,Herman_Boerhaave,Boerh.,22 . Naſturtium vulgatum C. B. pin. 103 . Tourn. 213 . Rupp. 86 . Boerh. II. 8 . Lepidium foliis oblongris varie diviſis & inciſis Linn. H. 331 . Lepidium,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35393', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35394_virtualSpan']"
311,Carl_von_Linné,Linn.,. Rupp. 86 . Boerh. II. 8 . Lepidium foliis oblongris varie diviſis & inciſis Linn. H. 331 . Lepidium foliis ob- longis multifidis Linn. V. 63 . Roy. 335 .,NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35394', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35395_virtualSpan']"
312,Carl_von_Linné,V.,"oblongris varie diviſis & inciſis Linn. H. 331 . Lepidium foliis ob- longis multifidis Linn. V. 63 . Roy. 335 . Anm. Die Blume ſtellet vor fig. 1. , die Saamen⸗Huͤlſe",NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35395', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35396_virtualSpan']"
313,Adriaan_van_Royen,Roy.,"& inciſis Linn. H. 331 . Lepidium foliis ob- longis multifidis Linn. V. 63 . Roy. 335 . Anm. Die Blume ſtellet vor fig. 1. , die Saamen⸗Huͤlſe oder unreife Frucht",NaN,BlackwellischesKraeuterbuch_1750_Blackwell,"['RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sSpan35396', 'RIDGES_Herbology_Version9.0/BlackwellischesKraeuterbuch_1750_Blackwell#sTok35397_virtualSpan']"
